,reaction_id,description,EC_number,reaction_elemental_balance,new_reaction_enter_db,reaction_equation,reaction,reaction_formula,old_database_dG0prime (kcal/mol),old_database_reaction_type,old_database_elemental_balance,Jankowski_drG0_prime(kcal/mol)_pH7_I0_1M,Jankowski_SE(dGr)(kcal/mol),Jankowski_Reason,pH_7.0_dG0_prime (kJ/mol),pH_7.0_dG0_prime (kcal/mol),pH_7.0_dG0_std (kJ/mol),pH_7.0_dG0_std (kcal/mol),pH_7.0_sqrt_Sigma (kJ/mol),dG_cannot_estimate_by_component_contribution,pH_7.0_dG_prime_lo (kJ/mol),pH_7.0_dG_prime_up (kJ/mol),rxntype_curated,rxntype_from_dG,reaction_type,lower_bound (mmol/gDW h),upper_bound (mmol/gDW h),specific_activity,reversed_specific_activity
10,R00014,pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating),1.2.4.1;2.2.1.6;4.1.1.1,All balanced,1,Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2,C00022 + C00068 <=> C05125 + C00011,C3H4O3 + C12H19N4O7P2S <=> C14H23N4O8P2S + CO2,-37.4,0.0,All balanced,-6.87,0.764453,0,-29.45529535,-7.0399923204221,3.466739126808,0.828570537,3.4667353,0,-86.53221443,27.62162373,,1,1,-1000,1000,2.65714403221065,2.300647942667177e-05
11,R00015,sucrose:sucrose 1'-beta-D-fructosyltransferase; sucrose:sucrose 1F-beta-D-fructosyltransferase,2.4.1.99,All balanced,1,2 Sucrose <=> D-Glucose + 1F-beta-D-Fructosylsucrose,2 C00089 <=> C00031 + C03661,2 C12H22O11 <=> C6H12O6 + C18H32O16,-7.8,1.0,All balanced,0,2,0,-6.115625162,-1.46167110746897,5.455994124128,1.304013892,5.455988099,0,-63.19254424,50.96129392,,1,1,-1000,1000,6.448592854426652,2.533221617977135
12,R00018,putrescine:putrescine 4-aminobutyltransferase (ammonia-forming),2.5.1.44,All balanced,1,2 Putrescine <=> sym-Homospermidine + Ammonia,2 C00134 <=> C06366 + C00014,2 C4H12N2 <=> C8H21N3 + NH3,-4.0,1.0,All balanced,-0.52,1.10166,0,-0.857393563,-0.204922205918378,4.099398151832,0.979779673,4.099393624,0,-57.93431264,56.21952552,,1,1,-1000,1000,0.1189612305792048,0.05620327656761596
13,R00022,chitobiose N-acetylglucosaminohydrolase,3.2.1.52,All balanced,1,Chitobiose + H2O <=> 2 N-Acetyl-D-glucosamine,C01674 + C00001 <=> 2 C00140,C16H28N2O11 + H2O <=> 2 C8H15NO6,-14.0,0.0,All balanced,-3.113,0.692797,0,-13.82868872,-3.30513957621232,3.374928116936,0.806627179,3.37492439,0,-76.61329971,9.00207891,,1,1,-1000,1000,1.945241349510632,0.009924808102269376
14,R00023,hydroxylamine:NAD+ oxidoreductase; NADH:hyponitrite oxidoreductase,1.7.1.5,All balanced,1,2 Hydroxylamine + 2 NAD+ <=> Hyponitrite + 2 NADH + 2 H+,2 C00192 + 2 C00003 <=> C01818 + 2 C00004 + 2 C00080,2 NH3O + 2 C21H28N7O14P2 <=> N2H2O2 + 2 C21H29N7O14P2 + 2 H,1000000.0,1.0,All balanced,18.4708,6.85004,0,-84.74946495,-20.2556306198397,0.0,0.0,0.0,1,0.0,0.0,,1,1,-1000,1000,5.537552314352991,195019019834074.9
15,R00024,"3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)",4.1.1.39,All balanced,1,"D-Ribulose 1,5-bisphosphate + CO2 + H2O <=> 2 3-Phospho-D-glycerate",C01182 + C00011 + C00001 <=> 2 C00197,C5H12O11P2 + CO2 + H2O <=> 2 C3H7O7P,-34.8,0.0,All balanced,-7.913,0.762682,0,-28.37075074,-6.78077965136444,3.81377589396,0.911514315,3.813771685,0,-85.44766982,28.70616834,2.0,1,2,-1000,0,0.8450867090530088,1.777815769531254e-06
16,R00025,ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming),1.13.12.16,COPNS balanced. H (1.0),1,Ethylnitronate + Oxygen + Reduced FMN <=> Acetaldehyde + Nitrite + FMN + H2O,C18091 + C00007 + C01847 <=> C00084 + C00088 + C00061 + C00001,C2H4NO2 + O2 + C17H23N4O9P <=> C2H4O + HNO2 + C17H21N4O9P + H2O,1000000.0,1.0,COPNS balanced. H (1.0),Not calculated,Not calculated,Involves groups with unknown energies,-409.7360833,-97.9293823251998,100000.11056736,23900.60004,100000.0002,1,0.0,0.0,,1,1,-1000,1000,69.94191117980846,
17,R00026,cellobiose glucohydrolase,3.2.1.21,All balanced,1,Cellobiose + H2O <=> 2 beta-D-Glucose,C00185 + C00001 <=> 2 C00221,C12H22O11 + H2O <=> 2 C6H12O6,-14.0,0.0,All balanced,-3.113,0.692797,0,-11.53231134,-2.75629160412804,3.105473320408,0.742225937,3.105469893,0,-74.31692233,11.29845629,,1,1,-1000,1000,14.74601275420806,
18,R00027,"2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)",4.1.2.38,All balanced,1,Benzoin <=> 2 Benzaldehyde,C01408 <=> 2 C00261,C14H12O2 <=> 2 C7H6O,19.3,1.0,All balanced,2.47,0.486692,0,7.75608993,1.85375202980958,1.86459211064,0.44564821,1.864590053,0,-55.02852106,30.58685756,,1,1,-1000,1000,13.22125090126616,823.7191841450526
19,R00028,maltose glucohydrolase,3.2.1.20,All balanced,1,Maltose + H2O <=> 2 alpha-D-Glucose,C00208 + C00001 <=> 2 C00267,C12H22O11 + H2O <=> 2 C6H12O6,-14.0,0.0,All balanced,-3.113,0.692797,0,-13.17277468,-3.14837218516808,2.8671197858,0.685258075,2.867116621,0,-75.95738567,9.65799295,,1,1,-1000,1000,11.03959497808655,0.04275928621952246
20,R00031,"1,2-benzenediol:oxygen oxidoreductase",1.10.3.1;1.14.18.1,All balanced,1,"Oxygen + 2 L-Tyrosine <=> 2 3,4-Dihydroxy-L-phenylalanine",C00007 + 2 C00082 <=> 2 C00355,O2 + 2 C9H11NO3 <=> 2 C9H11NO4,-340.7,3.0,Not balanced: O,-82.8797,0.886587,0,-519.2801766,-124.11107788846,9.905516081992,2.367475163,9.905505148,0,-570.6494038,-427.9571061,,0,0,0,1000,1.036643941743543,1.457802180549998e-62
21,R00032,"beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)",1.13.11.63,All balanced,1,beta-Carotene + Oxygen <=> 2 Retinal,C02094 + C00007 <=> 2 C00376,C40H56 + O2 <=> 2 C20H28O,-360.0,0.0,All balanced,-87.4597,1.50755,0,-364.5340226,-87.1258186055356,5.071072525648,1.212015422,5.071066926,0,-421.6109417,-307.4571036,,0,0,0,1000,0.9690468725255813,7.02934950846795e-65
22,R00033,thiamine:oxygen 5-oxidoreductase,1.1.3.23,All balanced,1,Thiamine + Oxygen <=> Hydrogen peroxide + Thiamine aldehyde,C00378 + C00007 <=> C00027 + C05856,C12H17N4OS + O2 <=> H2O2 + C12H15N4OS,-109.4,3.0,All balanced,-26.4897,0.741944,0,-110.3200036,-26.3671427804216,4.270184826912,1.020598668,4.270180114,0,-167.3969227,-53.24308452,,0,0,0,1000,2.18,8.351062543151837e-20
23,R00036,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming),4.2.1.24,All balanced,1,2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O,2 C00430 <=> C00931 + 2 C00001,2 C5H9NO3 <=> C10H14N2O4 + 2 H2O,-249.4,0.0,All balanced,-15.304,1.69176,0,-109.5416199,-26.1811044058194,4.013121975648,0.959159172,4.013117547,0,-132.3723875,-46.75700891,,0,0,0,1000,0.6753479190115651,1.138151687599654e-15
24,R00038,4-hydroxy-3-hexanone propanal-lyase (propanal-forming),4.1.2.35,All balanced,1,2 Propanal <=> 4-Hydroxyhexan-3-one,2 C00479 <=> C02948,2 C3H6O <=> C6H12O2,-19.3,1.0,All balanced,-4.02,0.423402,0,-10.03530943,-2.39849916562658,1.171434403728,0.279979542,1.171433111,0,-32.86607706,52.74930156,,1,1,-1000,1000,0.91,0.002856469790144655
25,R00039,raffinose:raffinose 1F-alpha-D-galactosyltransferase,2.4.1.166,All balanced,1,2 Raffinose <=> Lychnose + Sucrose,2 C00492 <=> C08242 + C00089,2 C18H32O16 <=> C24H42O21 + C12H22O11,0.0,1.0,All balanced,0,2,0,0.974791735,0.23298107341541,3.226837399232,0.771232648,3.226833838,0,-56.10212734,58.05171081,,1,1,-1000,1000,0.0002810693864511037,0.0003151555958517597
26,R00042,4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating),1.2.3.13,All balanced,1,2 3-(4-Hydroxyphenyl)pyruvate + Oxygen <=> 2 4-Hydroxyphenylacetate + 2 CO2,2 C01179 + C00007 <=> 2 C00642 + 2 C00011,2 C9H8O4 + O2 <=> 2 C8H8O3 + 2 CO2,-557.8,3.0,Not balanced: O,-136.56,1.23027,0,-670.6622396,-160.292299237838,11.260004301528,2.691205617,11.25999187,0,-790.5237697,-590.7545529,,0,0,0,1000,2.019956151657456,1.795602835002095e-101
27,R00043,"1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)",1.13.11.43,All balanced,1,"1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene + Oxygen <=> 2 4-Hydroxy-3-methoxy-benzaldehyde",C04547 + C00007 <=> 2 C00755,C16H16O4 + O2 <=> 2 C8H8O3,-361.2,0.0,All balanced,-83.7797,1.2347,0,-368.5315516,-88.0812520217096,3.291023645336,0.786573529,3.291020012,0,-425.6084707,-311.4546326,,0,0,0,1000,1.665266108653318,3.60632428651063e-63
28,R00044,columbamine:oxygen oxidoreductase (cyclizing),1.21.3.2,All balanced,1,2 Columbamine + Oxygen <=> 2 Berberine + 2 H2O,2 C01795 + C00007 <=> 2 C00757 + 2 C00001,2 C20H20NO4 + O2 <=> 2 C20H18NO4 + 2 H2O,-247.6,3.0,Not balanced: O,-121.354,4.76983,0,-478.6488185,-114.399939514411,4.593635206176,1.097905164,4.593630135,0,-530.0180457,-387.325748,,0,0,0,1000,3.807549338967376,6.656807465864751e-85
29,R00045,"3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase",1.10.3.1;1.14.18.1,All balanced,1,"Oxygen + 2 3,4-Dihydroxy-L-phenylalanine <=> 2 Dopaquinone + 2 H2O",C00007 + 2 C00355 <=> 2 C00822 + 2 C00001,O2 + 2 C9H11NO4 <=> 2 C9H9NO4 + 2 H2O,-257.8,0.0,Not balanced: O,-79.7337,3.53462,0,-381.592073,-91.202794999438,12.266219314968,2.931696777,12.26620577,0,-432.9613002,-290.2690025,,0,0,0,1000,1.533749690884824,2.46931523126222e-61
30,R00048,(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase,3.1.1.22,All balanced,1,(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate + H2O <=> 2 (R)-3-Hydroxybutanoate,C04546 + C00001 <=> 2 C01089,C8H14O5 + H2O <=> 2 C4H8O3,-15.4,0.0,All balanced,-2.143,0.675486,0,-49.34578508,-11.7939387088305,4.952534579832,1.183684173,4.952529111,0,-112.1303961,-26.51501745,,0,0,0,1000,3.697073563863679,0.02772761942793772
31,R00049,1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase,2.3.1.90,All balanced,1,"2 1-O-Galloyl-beta-D-glucose <=> D-Glucose + 1-O,6-O-Digalloyl-beta-D-glucose",2 C01158 <=> C00031 + C04101,2 C13H16O10 <=> C6H12O6 + C20H20O14,-7.8,1.0,All balanced,0,2,0,-8.151741802,-1.94831520112881,1.470194706112,0.351384968,1.470193085,0,-65.22866088,48.92517728,,1,1,-1000,1000,0.0743,0.00387017509609984
32,R00053,digallate acylhydrolase; tannin acylhydrolase,3.1.1.20,All balanced,1,Digallate + H2O <=> 2 Gallate,C01572 + C00001 <=> 2 C01424,C14H10O9 + H2O <=> 2 C7H6O5,2.0,1.0,All balanced,-2.143,0.675486,0,-56.77684311,-13.5700061643487,3.088743500176,0.738227414,3.088740088,0,-119.5614541,-33.94607548,,0,0,0,1000,20.44017169023148,0.01807033338922063
33,R00054,orsellinate-depside hydrolase,3.1.1.40,All balanced,1,Lecanoric acid + H2O <=> 2 Orsellinate,C02868 + C00001 <=> 2 C01839,C16H14O7 + H2O <=> 2 C8H8O4,1.7,1.0,All balanced,-2.143,0.675486,0,-57.09426905,-13.6458728685643,3.088743500176,0.738227414,3.088740088,0,-119.87888,-34.26350142,,0,0,0,1000,1300.0,1.124945448718486
34,R00055,inosine:oxygen 5'-oxidoreductase,1.1.3.28,All balanced,1,2 Inosine + Oxygen <=> 2 5'-Oxoinosine + 2 H2O,2 C00294 + C00007 <=> 2 C01993 + 2 C00001,2 C10H12N4O5 + O2 <=> 2 C10H10N4O5 + 2 H2O,-408.8,0.0,All balanced,-98.3337,1.20496,0,-423.9990607,-101.338319501664,7.278506479016,1.739604799,7.278498442,0,-475.3682879,-332.6759902,,0,0,0,1000,15.3,6.632307003071212e-72
35,R00058,"catechol:oxygen oxidoreductase; 1,2-benzenediol:oxygen oxidoreductase",1.10.3.1;1.14.18.1,All balanced,1,Oxygen + 2 Catechol <=> 2 o-Benzoquinone + 2 H2O,C00007 + 2 C00090 <=> 2 C02351 + 2 C00001,O2 + 2 C6H6O2 <=> 2 C6H4O2 + 2 H2O,-306.3,0.0,Not balanced: O,-82.1737,3.60255,0,-270.5105592,-64.6536467121552,17.315115887496,4.138412019,17.31509677,0,-321.8797863,-179.1874886,,0,0,0,1000,1.036643941743543,7.405178033847954e-59
36,R00059,N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase,3.5.1.46,All balanced,1,N-(6-Aminohexanoyl)-6-aminohexanoate + H2O <=> 2 6-Aminohexanoate,C01255 + C00001 <=> 2 C02378,C12H24N2O3 + H2O <=> 2 C6H13NO2,-4.1,0.0,All balanced,-0.463,0.848213,0,3.487866409,0.833620998949454,1.699352068128,0.406154892,1.699350192,0,-59.29674458,26.31863404,,1,1,-1000,1000,2.31188849730713,3.431891937727763
37,R00060,"Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)",1.21.3.4,All balanced,1,Oxygen + 2 Sulochrin <=> 2 (+)-Bisdechlorogeodin + 2 H2O,C00007 + 2 C00495 <=> 2 C03036 + 2 C00001,O2 + 2 C17H16O7 <=> 2 C17H14O7 + 2 H2O,69.5,2.0,Not balanced: O,Not calculated,Not calculated,Involves unknown structures,-778.4457215,-186.053198112829,282843.02516096,67601.10544,282842.7129,1,0.0,0.0,,1,1,-1000,1000,1.209545369136685,1.209545369136685
38,R00061,"sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)",1.21.3.5,All balanced,1,Oxygen + 2 Sulochrin <=> 2 (-)-Bisdechlorogeodin + 2 H2O,C00007 + 2 C00495 <=> 2 C03040 + 2 C00001,O2 + 2 C17H16O7 <=> 2 C17H14O7 + 2 H2O,69.5,2.0,Not balanced: O,Not calculated,Not calculated,Involves unknown structures,-778.4457215,-186.053198112829,282843.02516096,67601.10544,282842.7129,1,0.0,0.0,,1,1,-1000,1000,1.2,1.2
39,R00062,bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase,2.4.1.95,All balanced,1,2 Bilirubin-glucuronoside <=> Bilirubin + Bilirubin beta-diglucuronide,2 C03374 <=> C00486 + C05787,2 C39H44N4O12 <=> C33H36N4O6 + C45H52N4O18,-0.1,1.0,All balanced,0,2,0,0.008592291,0.002053609102746,0.0,0.0,0.0,1,0.0,0.0,,1,1,-1000,1000,1.021954472728897,1.021954472728897
40,R00063,"1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase; 1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase",2.3.1.103,All balanced,1,"2 1-O-Sinapoyl-beta-D-glucose <=> 1,2-Bis-O-sinapoyl-beta-D-glucoside + D-Glucose",2 C01175 <=> C04275 + C00031,2 C17H22O10 <=> C28H32O14 + C6H12O6,0.0,1.0,All balanced,0,2,0,-6.495348014,-1.55242714743408,3.995025619176,0.954834039,3.995021211,0,-63.57226709,50.58157106,,1,1,-1000,1000,0.0,0
41,R00066,"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase",2.5.1.9,All balanced,1,"2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil",2 C04332 <=> C00255 + C04732,2 C13H18N4O6 <=> C17H20N4O6 + C9H16N4O6,50.4,2.0,Not balanced: CON,Not calculated,Not calculated,Involves compounds with unlabeded atoms,-162.7263772,-38.8925805090632,22.511200278896,5.380305994,22.51117543,0,-219.8032963,-105.6494582,,0,0,0,1000,0.1196634434731435,3.615932474749616e-30
42,R00068,L-ascorbate:oxygen oxidoreductase,1.10.3.3,All balanced,1,Oxygen + 2 Ascorbate <=> 2 Dehydroascorbate + 2 H2O,C00007 + 2 C00072 <=> 2 C05422 + 2 C00001,O2 + 2 C6H8O6 <=> 2 C6H6O6 + 2 H2O,-445.6,0.0,All balanced,-103.894,3.00501,0,0.00773398,0.00184846762388,0.0,0.0,0.0,1,0.0,0.0,,1,1,-1000,1000,133.5,8.473799584281809e-75
43,R00069,4-imidazolone-5-propanoate:oxygen oxidoreductase,1.14.13.-;1.17.3.2,All balanced,1,Hydantoin-5-propionate + Hydrogen peroxide <=> 4-Imidazolone-5-propanoate + Oxygen + H2O,C05565 + C00027 <=> C03680 + C00007 + C00001,C6H8N2O4 + H2O2 <=> C6H8N2O3 + O2 + H2O,93.7,2.0,All balanced,134.22,2.30498,0,161.2473909,38.5390939094454,6.181550045096,1.477425919,6.181543222,0,104.1704718,218.3243099,,2,2,-1000,0,1.006607243610538,19323699905118849697645755143327904911803277861784219086164656288893501440
44,R00070,D-urobilinogen:oxygen oxidoreductase,,All balanced,1,2 D-Urobilinogen + Oxygen <=> 2 D-Urobilin + 2 H2O,2 C05791 + C00007 <=> 2 C05795 + 2 C00001,2 C33H42N4O6 + O2 <=> 2 C33H40N4O6 + 2 H2O,1000000.0,1.0,Not balanced: O,-84.1137,5.30316,0,-670.974479,-160.366926327874,22.421219216736,5.358800004,22.42119446,0,-722.3437062,-579.6514085,,0,0,0,1000,,
45,R00072,thiamine-aldehyde:oxygen 5-oxidoreductase,1.1.3.23,All balanced,1,Thiamine aldehyde + Oxygen + H2O <=> Hydrogen peroxide + Thiamine acetic ac,C05856 + C00007 + C00001 <=> C00027 + C02892,C12H15N4OS + O2 + H2O <=> H2O2 + C12H15N4O2S,-173.7,3.0,All balanced,-41.5127,0.888379,0,-168.9728087,-40.3855151161522,4.341805823448,1.037716497,4.341801028,0,-226.0497277,-111.8958896,,0,0,0,1000,2.18,1.057724633525115e-30
46,R00074,2-aminophenol:oxygen oxidoreductase (dimerizing),1.10.3.4,All balanced,1,4 2-Aminophenol + 3 Oxygen <=> 2 2-Aminophenoxazin-3-one + 6 H2O,4 C01987 + 3 C00007 <=> 2 C02161 + 6 C00001,4 C6H7NO + 3 O2 <=> 2 C12H8N2O2 + 6 H2O,,,,-286.301,7.35181,0,-975.7625023,-233.213092624714,200000.22209704,47801.20031,200000.0013,1,0.0,0.0,,1,1,-1000,1000,2.348866210280949,2.474295212898573e-210
47,R00075,S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase,2.5.1.43,All balanced,1,3 S-Adenosyl-L-methionine <=> 3 5'-Methylthioadenosine + Nicotianamine,3 C00019 <=> 3 C00170 + C05324,3 C15H22N6O5S <=> 3 C11H15N5O3S + C12H21N3O6,1000000.0,1.0,All balanced,-34.08,6.66635,0,-11.16824425,-2.6692773852155,316228.11553136,75580.33354,316227.7664,1,0.0,0.0,,1,1,-1000,1000,1.114409566654552,1.127889438307068e-25
48,R00078,Fe(II):oxygen oxidoreductase; Fe2+:oxygen oxidoreductase,1.16.3.1,All balanced,1,Oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O,C00007 + 4 C14818 + 4 C00080 <=> 4 C14819 + 2 C00001,O2 + 4 Fe + 4 H <=> 4 Fe + 2 H2O,1000000.0,1.0,All balanced,-8.1737,3.04138,0,-46.90458601,-11.2104774839061,17.078693097344,4.081905616,17.07867424,0,-155.3507323,101.4954036,,1,1,-1000,1000,1.141158522671619,6.05192629390506e-07
49,R00080,Catechol:oxygen oxidoreductase (dimerizing),1.1.3.14;1.10.3.1,All balanced,1,"4 Catechol + 3 Oxygen <=> 6 H2O + 2 Dibenzo[1,4]dioxin-2,3-dione",4 C00090 + 3 C00007 <=> 6 C00001 + 2 C03861,4 C6H6O2 + 3 O2 <=> 6 H2O + 2 C12H6O4,1000000.0,1.0,Not balanced: O,-264.921,7.47911,0,-645.7787354,-154.344992433012,400000.44235312,95602.40018,400000.0008,1,0.0,0.0,,1,1,-1000,1000,2.235290525901859,1.12807205016362e-194
50,R00084,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing); porphobilinogen ammonia-lyase (polymerizing),2.5.1.61,All balanced,1,4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia,4 C00931 + C00001 <=> C01024 + 4 C00014,4 C10H14N2O4 + H2O <=> C40H46N4O17 + 4 NH3,-166.0,0.0,All balanced,-25.973,2.61392,0,-128.7016439,-30.7604651019634,8.282358155872,1.979531108,8.28234901,0,-277.1016335,-20.25549763,,0,0,0,1000,1.904078884828874,1.353731651476164e-20
51,R00085,ATP diphosphohydrolase (phosphate-forming),3.6.1.5,All balanced,1,ATP + 2 H2O <=> AMP + 2 Orthophosphate,C00002 + 2 C00001 <=> C00020 + 2 C00009,C10H16N5O13P3 + 2 H2O <=> C10H14N5O7P + 2 H3PO4,-58.2,0.0,All balanced,-13.634,1.43511,0,-50.23545398,-12.0065749139439,0.603658930248,0.144277947,0.603658262,0,-147.2662164,-33.11237826,0.0,0,0,0,1000,2.914180587015702,4.157772856197748e-09
